 ISBN            Amazon         WWU            Profit         ROI            
9780743467698   $1.49           $10.75          $-0.11          -29.11       


9780312428235   $1.93           $12.25          $0.21           -29.14       


9780915144860   $0.03           $5.75           $-1.15          -29.23       


9780679724698   $1.40           $10.25          $-0.27          -30.89       


9780156439619   $1.19           $9.50           $-0.43          -31.27       


9780812980554   $2.01           $12.25          $0.13           -31.42       


9780140449150   $0.01           $5.50           $-1.25          -31.50       


9781416936473   $0.01           $5.50           $-1.25          -31.50       


9780440314882   $0.01           $5.50           $-1.25          -31.50       


9780553293357   $0.01           $5.50           $-1.25          -31.50       


9780141439518   $0.01           $5.50           $-1.25          -31.50       


9780345345059   $0.01           $5.50           $-1.25          -31.50       


9780152052607   $0.01           $5.50           $-1.25          -31.50       


9780064400558   $0.01           $5.50           $-1.25          -31.50       


9782707306951   $6.40           $27.00          $3.11           -31.67       


9781554981458   $3.37           $16.75          $1.01           -32.00       


9781567513905   $3.37           $16.75          $1.01           -32.00       


9780822332176   $3.00           $15.50          $0.76           -32.05       


9780385490818   $1.44           $10.25          $-0.30          -32.14       


9780521549400   $5.39           $23.50          $2.37           -32.20       


9780393314922   $1.83           $11.50          $-0.07          -32.65       


9780078022531   $39.49          $136.25         $24.64          -34.14       


9780822952732   $2.49           $13.50          $0.27           -34.26       


9780192833723   $0.01           $5.25           $-1.38          -34.63       


9780226729572   $4.55           $20.25          $1.59           -34.72       


9780393314328   $1.08           $8.75           $-0.70          -35.01       


9780736052160   $2.99           $15.00          $0.52           -35.39       


9781616203160   $1.49           $10.00          $-0.48          -35.95       


9780143105091   $1.38           $9.50           $-0.62          -37.24       


9780872203921   $0.01           $5.00           $-1.50          -37.75       


9780393978513   $2.27           $12.25          $-0.13          -38.42       


9780982541630   $1.68           $10.25          $-0.54          -39.24       


9781598638677   $6.98           $27.25          $2.65           -39.43       


9780439353793   $3.09           $14.75          $0.29           -39.48       


9784004300021   $4.37           $18.75          $1.02           -40.13       


9780140361223   $0.01           $4.75           $-1.63          -40.88       


9780152017170   $0.01           $4.75           $-1.63          -40.88       


9780140361216   $0.01           $4.75           $-1.63          -40.88       


9780449213940   $0.01           $4.75           $-1.63          -40.88       


9780553213652   $0.01           $4.75           $-1.63          -40.88       


9780451529596   $0.01           $4.75           $-1.63          -40.88       


9780064404891   $0.01           $4.75           $-1.63          -40.88       


9780440237686   $0.01           $4.75           $-1.63          -40.88       


9780374532505   $1.75           $10.25          $-0.62          -41.20       


9780137061334   $35.00          $115.75         $18.88          -41.33       


9780761931386   $5.33           $21.50          $1.43           -41.85       


9781412914246   $5.20           $21.00          $1.31           -42.33       


9780544300460   $1.97           $10.75          $-0.59          -42.87       


9781429241038   $28.98          $95.50          $14.78          -43.07       


9780312157111   $3.29           $14.75          $0.09           -43.89       


9780393333756   $4.21           $17.50          $0.55           -44.63       


9780226028569   $4.05           $17.00          $0.46           -44.65       


9780199219766   $0.78           $6.75           $-1.40          -45.60       


9780295956886   $2.50           $12.00          $-0.49          -46.07       


9780143126522   $2.99           $13.50          $-0.23          -46.13       


9780312674397   $0.80           $6.75           $-1.42          -46.24       


9780140367621   $0.15           $4.75           $-1.77          -46.26       


9780143035831   $1.94           $10.25          $-0.80          -46.29       


9780140442953   $3.01           $13.50          $-0.25          -46.57       


9780810119802   $1.96           $10.25          $-0.83          -46.81       


9781412987448   $17.30          $56.75          $7.09           -47.98       


9781118027059   $12.41          $41.75          $4.48           -48.38       


9780226320557   $2.45           $11.50          $-0.69          -48.76       


9780470131589   $23.50          $75.00          $10.01          -49.07       


9781455509720   $0.90           $6.75           $-1.52          -49.39       


9780393343403   $2.48           $11.50          $-0.72          -49.46       


9780536665973   $41.18          $128.00         $18.83          -49.48       


9780143121947   $3.18           $13.50          $-0.42          -50.21       


9780380807345   $0.01           $4.00           $-2.00          -50.25       


9780872205543   $0.01           $4.00           $-2.00          -50.25       


9780553213485   $0.01           $4.00           $-2.00          -50.25       


9781853261893   $0.01           $4.00           $-2.00          -50.25       


9780451418500   $0.01           $4.00           $-2.00          -50.25       


9780205747801   $30.00          $93.75          $12.88          -50.35       


9780674766914   $4.20           $16.50          $0.06           -50.55       


9780738211664   $2.57           $11.50          $-0.81          -51.52       


9781608196357   $2.34           $10.75          $-0.96          -52.05       


9781422118856   $0.99           $6.75           $-1.61          -52.11       


9780495569398   $38.23          $116.75         $16.16          -52.29       


9781285129198   $38.00          $116.00         $16.01          -52.37       


9780807063156   $2.28           $10.50          $-1.02          -52.63       


9780446178433   $1.95           $9.50           $-1.19          -52.86       


9780803282070   $2.83           $12.00          $-0.82          -53.52       


9780916390532   $1.30           $7.50           $-1.54          -53.69       


9780393327724   $2.86           $12.00          $-0.85          -54.16       


9780452281240   $2.46           $10.80          $-1.05          -54.42       


9780374506483   $2.35           $10.25          $-1.21          -56.23       


9781603290241   $3.93           $14.75          $-0.54          -56.50       


9781111577438   $76.28          $222.00         $30.73          -56.75       


9780345514400   $0.49           $4.75           $-2.11          -57.92       


9780195059281   $2.62           $10.75          $-1.24          -58.32       


9780802130310   $2.36           $10.00          $-1.35          -58.43       


9780195173987   $5.99           $20.25          $0.14           -58.57       


9780374533403   $2.48           $10.25          $-1.35          -59.12       


9780140367430   $0.01           $3.25           $-2.38          -59.62       


9781416500308   $0.01           $3.25           $-2.38          -59.62       


9783150000335   $0.01           $3.25           $-2.38          -59.62       


9781594631450   $2.69           $10.75          $-1.30          -59.81       


9780521544962   $7.99           $25.50          $0.77           -60.27       


9780143123484   $2.99           $11.50          $-1.23          -60.46       


9781416610748   $5.94           $19.50          $-0.18          -61.63       


9780452297753   $2.78           $10.75          $-1.39          -61.67       


9781577664352   $3.78           $13.50          $-1.02          -61.78       


9780801499616   $3.82           $13.50          $-1.06          -62.48       


9780393979176   $3.93           $13.75          $-1.05          -62.82       


9781608199143   $5.87           $19.00          $-0.36          -63.18       


9780802083364   $9.97           $30.00          $1.04           -63.97       


9780072496437   $32.31          $90.75          $9.07           -64.01       


9780807009499   $2.90           $10.75          $-1.52          -64.08       


9780312424091   $2.72           $10.25          $-1.59          -64.16       


9780132431781   $9.99           $30.00          $1.02           -64.16       


9781433805615   $9.00           $27.25          $0.63           -64.40       


9780807847169   $7.08           $22.00          $-0.07          -64.59       


9780976082200   $3.22           $11.50          $-1.46          -64.91       


9780393924282   $5.26           $17.00          $-0.75          -64.97       


9780679752707   $2.97           $10.75          $-1.59          -65.45       


9780143039679   $2.99           $10.75          $-1.61          -65.83       


9780486419312   $0.01           $2.75           $-2.63          -65.88       


9780486280417   $0.01           $2.75           $-2.63          -65.88       


9780061743993   $3.00           $10.75          $-1.62          -66.02       


9780226065663   $3.30           $11.50          $-1.54          -66.39       


9780325003627   $5.65           $17.75          $-0.77          -66.55       


9780393061819   $9.13           $27.00          $0.38           -66.69       


9781119941880   $43.48          $118.25         $11.66          -67.04       


9781451696196   $2.59           $9.50           $-1.83          -67.17       


9780805055122   $2.88           $10.25          $-1.75          -67.32       


9780131392571   $43.50          $117.75         $11.38          -67.62       


9780061886577   $3.37           $11.50          $-1.61          -67.66       


9780374526788   $3.85           $12.75          $-1.46          -67.79       


9780136121008   $52.00          $139.50         $13.76          -68.30       


9780316013697   $2.94           $10.25          $-1.80          -68.47       


9780312257378   $3.05           $10.50          $-1.79          -68.75       


9780470485910   $4.20           $13.50          $-1.44          -68.86       


9780435086077   $9.37           $27.00          $0.14           -69.09       


9780809016341   $2.98           $10.25          $-1.85          -69.23       


9780807054055   $4.24           $13.50          $-1.48          -69.50       


9780415872515   $12.77          $35.75          $1.12           -69.54       


9781571103840   $4.92           $15.25          $-1.29          -69.64       


9780201632217   $3.99           $12.75          $-1.61          -70.11       


9781571104229   $4.96           $15.25          $-1.32          -70.22       


9780325001876   $10.18          $28.75          $0.21           -70.40       


9780618249060   $2.96           $10.00          $-1.95          -70.65       


9780890425558   $38.00          $100.50         $8.26           -70.83       


9780071781770   $3.90           $12.25          $-1.77          -71.80       


9780205615964   $45.00          $117.25         $9.63           -72.19       


9780807749586   $5.49           $16.25          $-1.36          -72.20       


9781133189701   $69.99          $181.00         $16.52          -72.28       


9781610393591   $3.35           $10.75          $-1.96          -72.41       


9780393329339   $3.44           $10.75          $-2.05          -73.96       


9780520210707   $8.30           $23.00          $-0.79          -73.96       


9780805082401   $4.24           $12.75          $-1.86          -74.06       


9781422157992   $5.85           $16.75          $-1.46          -74.34       


9780060838652   $4.56           $13.50          $-1.80          -74.39       


9780131928787   $42.00          $107.50         $7.76           -74.45       


9781614272779   $0.99           $4.50           $-2.73          -74.70       


9780691043173   $35.62          $91.25          $6.02           -74.74       


9780809016518   $3.99           $12.00          $-1.98          -74.81       


9780195441550   $25.00          $64.25          $3.13           -75.42       


9781591846284   $3.56           $10.75          $-2.18          -75.96       


9780130618856   $49.67          $124.75         $8.71           -76.32       


9780262530309   $6.11           $17.00          $-1.60          -76.34       


9780520280526   $6.01           $16.75          $-1.63          -76.35       


9780205770632   $36.98          $93.25          $5.66           -76.46       


9780872207318   $3.09           $9.50           $-2.33          -76.55       


9780140449198   $3.09           $9.50           $-2.33          -76.55       


9780060934347   $3.92           $11.50          $-2.16          -76.86       


9781416948827   $1.49           $5.50           $-2.73          -77.01       


9780060891541   $3.64           $10.75          $-2.26          -77.26       


9781571103895   $2.73           $8.50           $-2.47          -77.38       


9780073402932   $74.97          $185.50         $13.79          -77.48       


9780307277329   $3.96           $11.50          $-2.20          -77.48       


9780140449440   $2.84           $8.75           $-2.46          -77.53       


9781568988528   $8.97           $23.75          $-1.09          -77.58       


9780374529628   $2.34           $7.50           $-2.58          -77.73       


9780486437507   $3.99           $11.50          $-2.23          -77.94       


9780814612729   $0.01           $1.75           $-3.13          -78.38       


9780717802418   $0.01           $1.75           $-3.13          -78.38       


9780486282084   $0.01           $1.75           $-3.13          -78.38       


9780816675487   $5.60           $15.25          $-1.96          -78.88       


9780618082346   $3.23           $9.50           $-2.47          -78.95       


9780415659086   $11.00          $28.25          $-0.87          -79.15       


9780325003085   $16.63          $41.75          $0.26           -79.41       


9780895941220   $4.10           $11.50          $-2.34          -79.60       


9780078050473   $15.99          $40.00          $0.02           -79.93       


9781429278508   $62.99          $152.75         $9.39           -80.02       


9782842612894   $4.34           $12.00          $-2.33          -80.07       


9780205638000   $42.92          $104.00         $5.09           -80.64       


9780787965785   $10.14          $25.75          $-1.26          -80.64       


9781405849425   $5.33           $14.25          $-2.20          -80.74       


9780199536320   $3.35           $9.50           $-2.59          -80.93       


9780763658076   $3.91           $10.75          $-2.53          -81.46       


9780801475450   $7.92           $20.25          $-1.79          -81.49       


9781582407661   $4.23           $11.50          $-2.47          -81.51       


9780195314403   $26.50          $64.00          $1.51           -81.96       


9784004300038   $7.38           $18.75          $-2.00          -82.45       


9780140447033   $3.99           $10.75          $-2.61          -82.64       


9780761160854   $3.99           $10.75          $-2.61          -82.64       


9780521600491   $12.38          $30.25          $-1.25          -83.23       


9780465041268   $4.38           $11.50          $-2.62          -83.63       


9780312610418   $7.73           $19.25          $-2.10          -83.83       


9780470437742   $67.92          $159.00         $7.59           -83.90       


9780195113921   $6.72           $16.75          $-2.34          -84.55       


9780142407332   $2.40           $6.75           $-3.02          -84.74       


9780415238328   $12.95          $31.00          $-1.44          -84.95       


9781580054829   $4.15           $10.75          $-2.77          -84.95       


9780393304510   $3.84           $10.00          $-2.83          -85.19       


9780199538621   $2.99           $8.00           $-2.98          -85.53       


9781416531746   $5.73           $14.25          $-2.60          -85.65       


9781412981491   $27.94          $64.75          $0.45           -86.11       


9781582973517   $4.58           $11.50          $-2.82          -86.35       


9780062255662   $3.93           $10.00          $-2.92          -86.49       


9780192803542   $3.07           $8.00           $-3.06          -86.83       


9780140424300   $4.09           $10.25          $-2.96          -87.19       


9780312428747   $3.76           $9.50           $-3.00          -87.23       


9780140178210   $3.78           $9.50           $-3.02          -87.52       


9781568983295   $7.03           $16.75          $-2.64          -87.79       


9780812971781   $4.36           $10.75          $-2.98          -87.84       


9780393913026   $30.00          $68.25          $0.13           -87.86       


9781887128599   $3.81           $9.50           $-3.05          -87.95       


9780674034907   $6.50           $15.50          $-2.74          -88.08       


9781400030507   $4.39           $10.75          $-3.00          -88.25       


9780691127590   $7.17           $16.75          $-2.79          -89.20       


9781551119656   $17.00          $38.50          $-1.74          -89.28       


9780521776721   $17.99          $40.50          $-1.73          -89.72       


9780691020280   $6.35           $14.75          $-2.97          -90.09       


9781603090742   $5.79           $13.50          $-3.03          -90.18       


9780807747025   $7.62           $17.50          $-2.86          -90.27       


9780500203644   $6.39           $14.75          $-3.00          -90.51       


9780295974774   $13.63          $30.50          $-2.37          -90.81       


9780812981926   $4.60           $10.75          $-3.22          -90.98       


9780316056229   $3.12           $7.50           $-3.36          -91.14       


9780495094869   $40.00          $87.75          $-0.12          -91.19       


9781464141249   $28.90          $63.50          $-1.14          -91.33       


9780816643127   $5.93           $13.50          $-3.17          -91.73       


9780679762645   $4.66           $10.75          $-3.28          -91.73       


9780439895293   $5.94           $13.50          $-3.18          -91.84       


9780253212344   $5.37           $12.25          $-3.23          -91.93       


9780823088393   $10.70          $23.75          $-2.81          -92.00       


9781118061602   $78.41          $170.00         $2.60           -92.00       


9781429232814   $70.45          $152.75         $1.94           -92.04       


9780441007318   $4.70           $10.75          $-3.32          -92.23       


9780140455052   $4.47           $10.25          $-3.34          -92.26       


9780763662622   $2.50           $6.00           $-3.49          -92.30       


9780393924763   $5.21           $11.75          $-3.32          -92.77       


9780691146232   $6.98           $15.50          $-3.22          -92.98       


9780325018263   $18.41          $39.75          $-2.52          -93.46       


9780073523200   $81.00          $173.00         $1.51           -93.53       


9780199554072   $2.95           $6.75           $-3.57          -93.88       


9780872206557   $2.99           $6.75           $-3.61          -94.48       


9780394719856   $3.94           $8.75           $-3.55          -94.51       


9780316246620   $4.91           $10.75          $-3.53          -94.78       


9780750685931   $19.06          $40.50          $-2.80          -94.84       


9780803281516   $5.29           $11.50          $-3.53          -95.04       


9781620402856   $4.95           $10.75          $-3.57          -95.25       


9781573223317   $4.97           $10.75          $-3.59          -95.48       


9780742570504   $8.80           $18.75          $-3.42          -95.50       


9780071760478   $15.98          $33.75          $-3.09          -95.52       


9780307453433   $4.99           $10.75          $-3.61          -95.71       


9780192823458   $5.00           $10.75          $-3.62          -95.83       


9780553328257   $4.42           $9.50           $-3.66          -96.08       


9780226768687   $2.50           $5.50           $-3.74          -96.15       


9780133546439   $74.87          $155.50         $-1.11          -96.35       


9780807737002   $7.94           $16.75          $-3.55          -96.35       


9780840058010   $48.97          $101.75         $-2.09          -96.40       


9781570614590   $5.66           $12.00          $-3.65          -96.48       


9780520272897   $7.96           $16.75          $-3.57          -96.53       


9780138009007   $85.00          $175.75         $-1.11          -96.77       


9780199276226   $11.99          $25.00          $-3.48          -96.81       


9780977312795   $12.97          $27.00          $-3.46          -96.87       


9780393335347   $5.13           $10.75          $-3.75          -97.31       


9780312452421   $3.43           $7.25           $-3.80          -97.37       


9780393975598   $7.45           $15.50          $-3.69          -97.38       


9780140259490   $5.51           $11.50          $-3.75          -97.47       


9780078034886   $59.84          $122.75         $-2.46          -97.60       


9780764143571   $4.79           $10.00          $-3.78          -97.61       


9782070387045   $4.56           $9.50           $-3.80          -97.78       


9780300151176   $8.50           $17.50          $-3.74          -98.00       


9780199536986   $3.24           $6.75           $-3.86          -98.13       


