ISBN            WWU Price       Amazon Price    Difference     
9780199927463   50.50           30.00           20.50          
9780205848058   91.25           70.93           20.32          
9781598638677   27.25           6.98            20.27          
9780470627617   105.25          85.00           20.25          
9781285068909   116.00          95.92           20.08          
9780801484032   23.00           2.97            20.03          
9780132655972   110.00          89.97           20.03          
9780802083364   30.00           9.97            20.03          
9780132431781   30.00           9.99            20.01          
9781118156322   164.75          144.80          19.95          
9781457609114   66.75           46.88           19.87          
9780078117022   54.50           34.64           19.86          
9781285053837   146.75          127.05          19.70          
9780815344544   104.75          85.12           19.63          
9780205247288   69.50           50.00           19.50          
9780205236398   39.50           20.00           19.50          
9781429242172   69.50           50.00           19.50          
9780500289761   68.25           49.00           19.25          
9780801497506   19.25           0.01            19.24          
9780691018966   19.50           0.31            19.19          
9780325005119   24.50           5.35            19.15          
9781133936732   77.00           58.00           19.00          
9781847870438   42.50           23.65           18.85          
9780205917655   73.50           54.70           18.80          
9780393935684   19.25           0.46            18.79          
9780674645110   21.00           2.33            18.67          
9780325001876   28.75           10.18           18.57          
9780807843499   18.75           0.40            18.35          
9781433805615   27.25           9.00            18.25          
9780521549400   23.50           5.39            18.11          
9780415238328   31.00           12.95           18.05          
9780521600491   30.25           12.38           17.87          
9780393061819   27.00           9.13            17.87          
9780133577396   104.25          86.46           17.79          
9781118270042   57.50           39.73           17.77          
9780071760478   33.75           15.98           17.77          
9780691001487   38.75           21.00           17.75          
9780395051795   17.75           0.01            17.74          
9780435086077   27.00           9.37            17.63          
9780521544962   25.50           7.99            17.51          
9781572307537   17.50           0.01            17.49          
9783527406012   74.25           56.82           17.43          
9780415659086   28.25           11.00           17.25          
9780300115291   20.25           3.04            17.21          
9780139380938   140.75          123.61          17.14          
9780205176052   49.75           32.73           17.02          
9780393912784   54.50           37.50           17.00          
9780674014718   17.25           0.28            16.97          
9780295974774   30.50           13.63           16.87          
9781556220784   33.75           16.90           16.85          
9780813512310   17.50           0.66            16.84          
9780873552172   18.75           1.99            16.76          
9780130096616   56.75           40.00           16.75          
9780132907118   113.75          97.00           16.75          
9780202304328   17.50           0.97            16.53          
9780195045536   16.75           0.31            16.44          
9780470974094   77.75           61.38           16.37          
9780295960845   20.25           4.00            16.25          
9781119966197   63.50           47.27           16.23          
9780761931386   21.50           5.33            16.17          
9780558619787   66.00           49.86           16.14          
9781133606499   91.25           75.19           16.06          
9780205962556   94.25           78.26           15.99          
9781452205403   53.25           37.42           15.83          
9781605351155   87.75           71.92           15.83          
9781412914246   21.00           5.20            15.80          
9781604267273   31.75           16.00           15.75          
9780226729572   20.25           4.55            15.70          
9781416596134   17.50           1.84            15.66          
9780787965785   25.75           10.14           15.61          
9780136066545   34.50           18.91           15.59          
9780898622171   19.00           3.69            15.31          
9781111301583   52.25           36.95           15.30          
9780231110938   18.75           3.47            15.28          
9780415561815   38.50           23.33           15.17          
9780226720630   18.50           3.39            15.11          
9781452225463   85.00           70.00           15.00          
9780072483116   63.00           48.00           15.00          
9780205380992   69.25           54.26           14.99          
9780807847169   22.00           7.08            14.92          
9781568988528   23.75           8.97            14.78          
9780520210707   23.00           8.30            14.70          
9780521516648   67.50           52.99           14.51          
9780132685146   67.00           52.50           14.50          
9781284036695   78.25           63.83           14.42          
9780262033848   62.00           47.60           14.40          
9784004300021   18.75           4.37            14.38          
9780195173987   20.25           5.99            14.26          
9781588261137   15.25           1.17            14.08          
9780977312795   27.00           12.97           14.03          
9780736072472   31.00           16.99           14.01          
9781591470939   33.75           19.85           13.90          
9780312157067   14.75           0.95            13.80          
9780073191591   47.25           33.60           13.65          
9781416610748   19.50           5.94            13.56          
9780252060120   13.50           0.01            13.49          
9780486217932   13.50           0.01            13.49          
9781567513905   16.75           3.37            13.38          
9781554981458   16.75           3.37            13.38          
9780393333756   17.50           4.21            13.29          
9781586483944   13.25           0.01            13.24          
9780674002715   13.25           0.01            13.24          
9781570397752   30.00           16.80           13.20          
9781608199143   19.00           5.87            13.13          
9780823088393   23.75           10.70           13.05          
9780199276226   25.00           11.99           13.01          
9780226028569   17.00           4.05            12.95          
9780312108021   14.75           1.95            12.80          
9780312206628   12.75           0.03            12.72          
9780393314823   14.75           2.08            12.67          
9782070360789   12.75           0.09            12.66          
9780803267114   14.75           2.24            12.51          
9780822332176   15.50           3.00            12.50          
9780393317558   12.75           0.30            12.45          
9780393979534   12.75           0.35            12.40          
9780801475450   20.25           7.92            12.33          
9780140274981   13.50           1.18            12.32          
9780674766914   16.50           4.20            12.30          
9780374523503   12.25           0.01            12.24          
9780325003627   17.75           5.65            12.10          
9781429238601   100.50          88.43           12.07          
9781928896876   32.00           19.99           12.01          
9780736052160   15.00           2.99            12.01          
9780891083511   67.00           55.00           12.00          
9780714833569   30.50           18.50           12.00          
9780295973395   12.00           0.01            11.99          
9780930289232   13.50           1.53            11.97          
9780199227020   46.50           34.61           11.89          
9780807032695   12.25           0.41            11.84          
9780452006478   13.50           1.68            11.82          
9780393924282   17.00           5.26            11.74          
9780439353793   14.75           3.09            11.66          
9780878934072   77.00           65.43           11.57          
9780312610418   19.25           7.73            11.52          
9780072945485   92.00           80.50           11.50          
9780807031131   11.50           0.01            11.49          
9780452284234   11.50           0.01            11.49          
9780312427900   11.50           0.01            11.49          
9780743266420   11.50           0.01            11.49          
9780679735663   11.50           0.01            11.49          
9780295955254   11.50           0.01            11.49          
9780393314090   11.50           0.01            11.49          
9780465041664   11.50           0.01            11.49          
9780679733768   11.50           0.01            11.49          
9780385014854   11.50           0.01            11.49          
9780312157111   14.75           3.29            11.46          
9784004300038   18.75           7.38            11.37          
9780385023511   11.50           0.18            11.32          
9780321820464   28.25           16.95           11.30          
9780262072670   39.75           28.47           11.28          
9780736079662   66.25           55.00           11.25          
9780914610007   12.25           1.00            11.25          
9781580050548   11.25           0.01            11.24          
9780140280630   11.50           0.27            11.23          
9781400078752   11.50           0.28            11.22          
9780140178241   12.75           1.56            11.19          
9780192811677   11.50           0.33            11.17          
9781554200368   12.75           1.60            11.15          
9780142001615   11.50           0.38            11.12          
9780521893077   70.75           59.68           11.07          
9780822952732   13.50           2.49            11.01          
9780470381762   40.50           29.53           10.97          
9780435913564   12.50           1.59            10.91          
9780809016358   11.50           0.59            10.91          
9781422157992   16.75           5.85            10.90          
9780262530309   17.00           6.11            10.89          
9781603290241   14.75           3.93            10.82          
9780807749586   16.25           5.49            10.76          
9780140086836   10.75           0.01            10.74          
9780520280526   16.75           6.01            10.74          
9780385473767   10.75           0.01            10.74          
9780887308376   10.75           0.01            10.74          
9780679729532   10.75           0.01            10.74          
9780140042597   10.75           0.01            10.74          
9780805090895   10.75           0.01            10.74          
9780805205725   10.75           0.01            10.74          
9780805086584   10.75           0.01            10.74          
9780140449136   10.75           0.01            10.74          
9780618485222   10.75           0.01            10.74          
9781566892964   10.75           0.01            10.74          
9780140131550   10.75           0.01            10.74          
9780918273833   10.75           0.01            10.74          
9780679723288   10.75           0.01            10.74          
9780679722427   10.75           0.01            10.74          
9781400033416   10.75           0.01            10.74          
9780143036371   10.75           0.01            10.74          
9780312280192   10.75           0.01            10.74          
9781405100151   31.00           20.27           10.73          
9781592289448   11.50           0.89            10.61          
9780140277722   10.75           0.23            10.52          
